date,temp,spcond,sal,do_pct,do_mgl,depth,ph,turb,chlfluor
3/16/2017,14.33645833,13.42052083,7.784375,108.2520833,10.56666667,1.9184375,8.382291667,8.34375,NA
3/17/2017,14.77291667,11.455,6.561458333,107.9833333,10.521875,2.025,8.204166667,9.302083333,NA
3/18/2017,15.984375,10.495625,5.972916667,106.1677083,10.10104167,2.0465625,8.026041667,9.71875,NA
3/19/2017,18.08333333,9.563125,5.403125,108.0104167,9.866666667,2.022604167,8.016666667,11.875,NA
3/20/2017,19.021875,9.768125,5.520833333,106.2166667,9.522916667,2.03625,7.825,15.19791667,NA
3/21/2017,20.43229167,8.376666667,4.678125,106.28125,9.295833333,2.071770833,7.447916667,26.97916667,NA
3/22/2017,21.55729167,8.6896875,4.860416667,101.1041667,8.642708333,2.089166667,7.0875,23.07291667,NA
3/23/2017,21.75208333,8.074166667,4.498958333,93.690625,8.00625,2.010416667,7.198958333,25.88541667,NA
3/24/2017,21.83958333,8.664791667,4.847916667,83.94479167,7.155208333,2.126666667,7.194791667,26.40625,NA
3/25/2017,21.96666667,9.5065625,5.357291667,82.56458333,7.011458333,2.238229167,7.304166667,42.51041667,NA
3/26/2017,21.95729167,7.756145833,4.30625,78.0375,6.65625,2.238229167,7.086458333,14.625,NA
3/27/2017,22.896875,7.3353125,4.054166667,82.90416667,6.953125,2.223229167,6.95625,15.96875,NA
3/28/2017,23.59895833,7.530208333,4.165625,80.41354167,6.666666667,2.277604167,6.942708333,22.38541667,NA
3/29/2017,24.378125,8.404791667,4.685416667,85.11666667,6.932291667,2.242083333,7.061458333,33.69791667,NA
3/30/2017,24.025,6.466979167,3.5375,82.896875,6.840625,2.3228125,7.0875,22.48958333,NA
3/31/2017,23.39791667,5.602395833,3.038541667,69.33541667,5.80625,2.291458333,6.960416667,13.65625,NA
4/1/2017,23.09270833,5.698958333,3.102083333,76.05729167,6.404166667,2.205625,6.882291667,14.19791667,NA
4/2/2017,23.14479167,5.160833333,2.784375,75.62708333,6.367708333,2.193125,6.764583333,14.51041667,NA
4/3/2017,23.2625,4.564895833,2.45,75.66979167,6.369791667,2.331666667,6.863541667,18.09375,NA
4/4/2017,22.67604167,3.28,1.727083333,62.69895833,5.361458333,2.284791667,6.670833333,12.04166667,NA
4/5/2017,23.55416667,3.70375,1.972916667,77.70833333,6.502083333,2.441979167,6.901041667,19.44791667,NA
4/6/2017,21.490625,1.266354167,0.642708333,73.24479167,6.44375,2.043333333,6.545833333,16.25,NA
4/7/2017,21.103125,2.1509375,1.119791667,79.54479167,7.025,1.949270833,6.692708333,18.42708333,NA
4/8/2017,20.646875,3.050416667,1.6,84.55625,7.528125,2.005833333,6.914583333,17.65625,NA
4/9/2017,20.93958333,3.0965625,1.623958333,88.79583333,7.852083333,2.090520833,6.870833333,16.88541667,NA
4/10/2017,21.64895833,2.869479167,1.498958333,89.47395833,7.808333333,2.144895833,6.848958333,16.26041667,NA
4/11/2017,22.05520833,2.662291667,1.3875,82.4375,7.15,2.1715625,6.795833333,15.64583333,NA
4/12/2017,22.70729167,2.630104167,1.365625,86.096875,7.367708333,2.163793103,6.898958333,16.39583333,NA
4/13/2017,22.42421053,2.647473684,1.378947368,98.76947368,8.507368421,2.241473684,6.93,16.26315789,NA
4/14/2017,22.378125,2.786875,1.455208333,116.9416667,10.06458333,2.295,NA,14.09375,NA
4/15/2017,22.471875,2.602604167,1.35625,114.2885417,9.819791667,2.3459375,NA,12.96875,NA
4/16/2017,22.77395833,2.741979167,1.432291667,107.3854167,9.173958333,2.337708333,NA,13.40625,NA
4/17/2017,23.03020833,2.6175,1.360416667,103.396875,8.789583333,2.310208333,NA,12.63541667,NA
4/18/2017,23.00104167,2.432395833,1.25625,106.2333333,9.034375,2.316354167,NA,11.72916667,NA
4/19/2017,23.346875,2.305208333,1.185416667,116.325,9.828125,2.2903125,NA,10.86458333,NA
4/20/2017,24.10416667,2.195520833,1.126041667,121.625,10.12916667,2.326354167,NA,10.8125,NA
4/21/2017,24.52395833,2.227291667,1.144791667,112.103125,9.267708333,2.315520833,NA,11.15625,NA
4/22/2017,25.071875,2.674895833,1.3875,102.1635417,8.363541667,2.371979167,NA,12.47916667,NA
4/23/2017,24.16458333,1.458125,0.735416667,84.59479167,7.072916667,2.227291667,NA,11.91666667,NA
4/24/2017,23.13854167,1.326979167,0.671875,91.23645833,7.778125,2.164583333,NA,13.45833333,NA
4/25/2017,22.78020833,2.575,1.339583333,97.528125,8.341666667,2.2084375,NA,17.8125,NA
4/26/2017,22.63854167,2.528854167,1.319791667,96.45625,8.275,2.2503125,NA,18.0625,NA
4/27/2017,23.36875,2.675104167,1.395833333,94.19791667,7.965625,2.316458333,NA,21.03125,NA
4/28/2017,24.87083333,3.038854167,1.60625,88.94479167,7.310416667,2.324479167,7.215625,11.46875,NA
4/29/2017,25.21979167,2.938333333,1.5375,86.96458333,7.096875,2.3421875,7.090625,6.90625,NA
4/30/2017,24.89166667,3.873645833,2.059375,84.47083333,6.91875,2.4684375,7.152083333,12.69791667,NA
5/1/2017,24.4125,2.643958333,1.383333333,79.809375,6.611458333,2.429270833,6.791666667,24.92708333,NA
5/2/2017,24.01770833,2.483854167,1.3,80.79375,6.744791667,2.327916667,6.767708333,5.572916667,NA
5/3/2017,24.30416667,2.789166667,1.461458333,94.40520833,7.820833333,2.279791667,7.242708333,7.5625,NA
5/4/2017,22.559375,1.239166667,0.627083333,76.78020833,6.617708333,2.286354167,6.417708333,8.604166667,NA
5/5/2017,20.328125,0.151875,0.1,73.2875,6.625,2.0665625,5.878125,10.90625,NA
5/6/2017,20.13229167,0.155729167,0.1,75.45416667,6.838541667,2.100625,5.936458333,17.32291667,NA
5/7/2017,20.78333333,0.123125,0.1,72.32395833,6.480208333,2.075208333,5.886458333,21.95833333,NA
5/8/2017,21.440625,0.155729167,0.104166667,70.97708333,6.272916667,2.096666667,5.935416667,23.10416667,NA
5/9/2017,21.934375,0.203645833,0.115625,65.78125,5.757291667,2.1221875,5.944791667,21.89583333,NA
